Nome,Preco
BROCA 070,206.00
BROCA ESCAREADORA 32,250.00
BROCA IMPORTADA 010,59.00
BROCA IMPORTADA 025,65.00
BROCA IMPORTADA 030,76.00
BROCA IMPORTADA 032,79.00
BROCA IMPORTADA 035,85.00
BROCA IMPORTADA 040,105.00
BROCA IMPORTADA 050,116.00
BROCA IMPORTADA 060,135.00
BUCHA FISCHER SX10,1.00
CATALISADOR,2.00
COLA ADESIVA INSTANTÂNEA,10.00
COLA INST POWER BOND,25.00
COLA LIQUIDA COMUM JDS 1KG,42.00
COLA LIQUIDA CRISTAL JDS 1KG,42.00
COLA LÍQUIDA PRETA JDS 1KG,42.00
CORANTE PRETO,8.00
CUBA DE LOUÇA GD,125.00
CUBA DE LOUÇA PQ,115.00
CUBA GOURMET BR CUBAS AÇO 201 50X40 ESC,204.00
"CUBA N 0 17 NEW STEEL 3,5 AÇO 430",109.90
"CUBA N 1 17 NEW STEEL 3,5 AÇO 430",109.90
"CUBA N 2 17 NEW STEEL 3,5 AÇO 430",119.90
"CUBA N 2 17 TRAMONTINA 3,5 AÇO 304",235.00
"CUBA N1 17 TRAMONTINA 3.1/2 AÇO 304 AB",230.00
"CUBA N2 17 NEW STEEL 3.1/2 AÇO 430 AB",115.00
"CUBA N2 17 NEW STEEL C/V 4.1/2 AÇO 304 ESC",189.00
"CUBA N2 17 TRAMONTINA 3.1/2 AÇO 304 AB",250.00
"CUBA N2 17 TRAMONTINA 4.1/2 AÇO 304 AB",345.00
DISCO MAKITA FINO AMARELO,29.90
DISCO MAKITA FINO AZUL,29.90
DISCO MAKITA FINO BRANCO,25.00
ESTOPA 1kg,15.00
FITA CREPE AZUL,25.00
FITA CREPE BRANCA,14.00
GEL CRISTAL JDS,35.00
GEL SUPER BRILHO JDS,40.00
ICA15 CB APOIO REDONDA 29,199.90
ICA21 CB APOIO OVAL 47X33,299.90
IL6 CB EMBUTIR OVAL 49X36,99.90
LAPIS DE CERA VERMELHO,15.00
LIXA D'AGUA,20.00
LIXA DRY FLEX #0100,26.00
LIXA DRY FLEX #0200,26.00
LIXA DRY FLEX #0400,26.00
LIXA DRY FLEX #0800,26.00
"LIXA ESTÁGIO N1 (3 PASSOS)",25.00
"LIXA ESTÁGIO N2 (3 PASSOS)",25.00
"LIXA ESTÁGIO N3 (3 PASSOS)",25.00
LIXA SAIT #060,6.00
LIXA SAIT #120,0.00
LIXA SAIT C/ VELCRO #1200,6.50
LIXA SAIT C/ VELCRO 0800,6.50
LIXA SAIT C/ VELCRO #0220,6.50
LIXA SAIT C/ VELCRO #0320,6.50
LIXA SAIT C/ VELCRO #0400,6.50
LIXA SAIT C/ VELCRO #0600,6.50
LIXA SAIT COM VELCRO #0800,6.50
MASSA PLASTICA JDS BRANCA,0.00
MASSA PLASTICA JDS CHUMBAR,0.00
MASSA PLASTICA JDS PRETA,0.00
MASSA PLASTICA JDS TRAVERTINO,0.00
MASSA PLASTICA SHOW BRANCA,0.00
MASSA PLASTICA SHOW PRETA,0.00
METRO AMARELO,0.00
P.U BRANCO,13.50
P.U CINZA,13.50
P.U PRETO,13.50
"PARAFUSO SEXT 1/4 75",1.00
PETROLUX INCOLOR,69.00
PETROLUX PRETO,69.00
PRATO 4 FLEXIVEL,26.00
PRATO 4 SEMI FLEXIVEL,26.00
PRATO RIGIDO PRETO,27.00
REBOLO 4 BANSHKORI KUBO,27.00
SERRA 35MM CONTINUO AZUL,350.00
SERRA 35MM SEGMENTADO SILENCIOSO,305.00
SUPERBORDAS PRETO BELLINZONI,0.00
TANQUE NEW STEEL 40X34 AÇO 304 AB,199.90
TANQUE NEW STEEL 40X40 AÇO 304 AB,220.00
TORNEIRA COZINHA,0.00
TOTAL BLACK BELLINZONI,0.00
TRENA 5 METROS,20.00
"VALVULA 3.1/2 PINO PRETO",12.00